"NOMBRE_EST","NIVMOD","NIVELMODAL","TIPEST","COMUNA","ESTADO","POINT_X","POINT_Y","nivel","long","lat","niv","num_niv","geometry"
"Jardín de Infantes Común N° 04/06° Mariano Boedo","IniCom","Nivel Inicial Común","Jardín de Infantes Común",5,"1",104034.614,100606.0081,"Inicial Común",-58.4193037515056,-34.6237995132074,"Inicial",1,c(-58.4193037515056, -34.6237995132074)
"San Gregorio","OSECom","Otros Servicios Educativos de la modalidad Común","Instituto Educativo Asistencial no Incorporado a la Enseñanza Oficial",15,"1",102559.2691,104141.2847,"Otros Servicios Educativos de la modalidad Común",-58.4354023028402,-34.5919357163964,"Otros",1,c(-58.4354023028402, -34.5919357163964)
"Esc. Primaria Común N° 02 Carlos Ramón Vignale","PriCom","Nivel Primario Común","Escuela de Jornada Simple",4,"1",109314.9213,99661.4284,"Primario Común",-58.361713581824,-34.6322802346301,"Primario",1,c(-58.361713581824, -34.6322802346301)
"Jardín de Infantes Nucleado D (EPCjc 24/13°)","IniCom","Nivel Inicial Común","Jardín de Infantes Nucleado",9,"1",97509.1242,98109.9595,"Inicial Común",-58.4904694419162,-34.6463043970391,"Inicial",1,c(-58.4904694419162, -34.6463043970391)
"Cosme Marín RIEA","OSECom","Otros Servicios Educativos de la modalidad Común","Instituto Educativo Asistencial no Incorporado a la Enseñanza Oficial",3,"1",104643.4957,101691.0754,"Otros Servicios Educativos de la modalidad Común",-58.4126699807187,-34.614015741092,"Otros",1,c(-58.4126699807187, -34.614015741092)
"Jardín de Infantes Integral N° 07/19°","IniCom","Nivel Inicial Común","Jardín de Infantes Integral",8,"1",101764.9372,95947.2872,"Inicial Común",-58.444044380041,-34.6658012105819,"Inicial",1,c(-58.444044380041, -34.6658012105819)
"Jardín de Infantes Nucleado A (EPCjc 17/07°)","IniCom","Nivel Inicial Común","Jardín de Infantes Nucleado",15,"1",102305.716,103048.1556,"Inicial Común",-58.4381632573294,-34.6017902434562,"Inicial",1,c(-58.4381632573294, -34.6017902434562)
"Inst. Obra de la Conservación de la Fe","IniCom - PriCom","Nivel Inicial y Primario Común","Instituto Educativo Incorporado a la Enseñanza Oficial",12,"1",97632.0284,106232.3147,"Inicial y Primario Común",-58.4891056612147,-34.5730864153719,"Inicial a Primario",2,c(-58.4891056612147, -34.5730864153719)
"Centro de Alfabetización, Educación Básica y Trabajo N° 46","PriAdu - OSEAdu","Nivel Primario de Jóvenes y Adultos - Otros Servicios Educativos de la modalidad de Jóvenes y Adultos","Programa de Alfabetización, Educación Básica y Trabajo para Jóvenes y Adultos",12,"1",97789.1948,108734.7068,"Primario de Jóvenes y Adultos - Otros Servicios Educativos de la modalidad de Jóvenes y Adultos",-58.4873861921442,-34.5505289957974,"Primario",1,c(-58.4873861921442, -34.5505289957974)
"Inst. Jorge Newbery","PriEsp - OSEEsp","Nivel Primario Especial - Otros Servicios Educativos de la modalidad Especial","Instituto Educativo Incorporado a la Enseñanza Oficial",13,"1",101569.7018,106562.8917,"Primario Especial - Otros Servicios Educativos de la modalidad Especial",-58.4461933835891,-34.5701081782577,"Primario",1,c(-58.4461933835891, -34.5701081782577)
"Jardín de Infantes Integral N° 04/03° El Jardín del Manzano","IniCom","Nivel Inicial Común","Jardín de Infantes Integral",1,"1",106775.101,101526.1015,"Inicial Común",-58.3894270034405,-34.6154911371091,"Inicial",1,c(-58.3894270034405, -34.6154911371091)
"Escuela Infantil Pecas y Flequillo","OSECom","Otros Servicios Educativos de la modalidad Común","Instituto Educativo Asistencial No Incorporado a la Enseñanza Oficial",3,"1",105078.8074,100541.6529,"Otros Servicios Educativos de la modalidad Común",-58.4079168094861,-34.6243750538552,"Otros",1,c(-58.4079168094861, -34.6243750538552)
"Esc. Primaria Común N° 04 Cnel. de Marina Tomas Espora","PriCom","Nivel Primario Común","Escuela de Jornada Simple",1,"1",106775.9929,99991.5276,"Primario Común",-58.3894051170605,-34.6293243783402,"Primario",1,c(-58.3894051170605, -34.6293243783402)
"Esc. Primaria Común N° 02 Gral. Mariano Acha","PriCom","Nivel Primario Común","Escuela de Jornada Completa",15,"1",100061.3661,105248.6903,"Primario Común",-58.4626306690433,-34.5819561176126,"Primario",1,c(-58.4626306690433, -34.5819561176126)
"Esc. Primaria Común N° 14 Enrique G. Parker","PriCom","Nivel Primario Común","Escuela de Jornada Simple",11,"1",99251.936,101155.3547,"Primario Común",-58.4714566681283,-34.6188548888795,"Primario",1,c(-58.4714566681283, -34.6188548888795)
"Jardín de Infantes Integral Nº 14/21º","IniCom","Nivel Inicial Común","Jardín de Infantes Integral",8,"1",97929.3751,94128.9746,"Inicial Común",-58.4858955133889,-34.6821912838005,"Inicial",1,c(-58.4858955133889, -34.6821912838005)
"Centro de Arte y Tecnología","SNUCom","Nivel Superior No Universitario Común","Instituto Educativo Incorporado a la Enseñanza Oficial",12,"1",95849.278,105177.8875,"Superior No Universitario Común",-58.5085393342421,-34.5825857582606,"Superior",1,c(-58.5085393342421, -34.5825857582606)
"Esc. Primaria Común N° 19 Galicia","PriCom","Nivel Primario Común","Escuela de Jornada Completa",6,"1",100920.1243,102332.0193,"Primario Común",-58.453267934576,-34.6082479012759,"Primario",1,c(-58.453267934576, -34.6082479012759)
"Esc. Primaria Común N° 07 Aeronáutica Argentina","PriCom","Nivel Primario Común","Escuela de Jornada Completa",4,"1",104193.9788,98261.6753,"Primario Común",-58.4175544862871,-34.6449315811997,"Primario",1,c(-58.4175544862871, -34.6449315811997)
"ESEA en Danza Ramicone Curso Vocacional de Folklore N° 06","OSECom","Otros Servicios Educativos de la modalidad Común","Escuela Superior de Educación Artística",3,"1",104884.1086,101725.5677,"Otros Servicios Educativos de la modalidad Común",-58.4100466861398,-34.6137037094421,"Otros",1,c(-58.4100466861398, -34.6137037094421)
"Inst. Raúl Scalabrini Ortiz","SecCom - SNUCom","Nivel Secundario y Superior No Universitario Común","Instituto Educativo Incorporado a la Enseñanza Oficial",1,"1",107620.6829,102431.9362,"Secundario y Superior No Universitario Común",-58.3802152316831,-34.6073196912664,"Secundario a Superior",2,c(-58.3802152316831, -34.6073196912664)
"Inst. de Tecnología Ort 02","SNUCom","Nivel Superior No Universitario Común","Instituto Educativo Incorporado a la Enseñanza Oficial",13,"1",100796.3084,108723.2068,"Superior No Universitario Común",-58.454623426765,-34.5506348909589,"Superior",1,c(-58.454623426765, -34.5506348909589)
"Inst. Santísima Virgen Niña","IniCom - PriCom - SecCom","Nivel Inicial, Primario y Secundario Común","Instituto Educativo Incorporado a la Enseñanza Oficial",11,"1",97350.3197,102679.8625,"Inicial, Primario y Secundario Común",-58.4921870404769,-34.6051090979928,"Inicial a Secundario",3,c(-58.4921870404769, -34.6051090979928)
"Girasoles Escuela Activa","IniCom - PriCom","Nivel Inicial y Primario Común","Instituto Educativo Incorporado a la Enseñanza Oficial",10,"1",96100.9263,99715.9163,"Inicial y Primario Común",-58.5058220003147,-34.6318232434303,"Inicial a Primario",2,c(-58.5058220003147, -34.6318232434303)
"Esc. de Comercio N° 36 Isaac Halperin","SecAdu","Nivel Secundario de Jóvenes y Adultos","Escuela de Comercio",1,"1",106922.022,100764.5039,"Secundario de Jóvenes y Adultos",-58.3878188763785,-34.6223555056315,"Secundario",1,c(-58.3878188763785, -34.6223555056315)
"Esc. Primaria Común N° 12 Herminia Brumana","PriCom","Nivel Primario Común","Escuela de Jornada Completa",15,"1",100982.8973,103555.6606,"Primario Común",-58.4525848820545,-34.5972174224968,"Primario",1,c(-58.4525848820545, -34.5972174224968)
"Inst. del Profesorado en Enfermería Padre Luis Tezza","SNUCom","Nivel Superior No Universitario Común","Instituto Educativo Incorporado a la Enseñanza Oficial",6,"1",102083.8239,102503.5807,"Superior No Universitario Común",-58.44058097307,-34.6066997345465,"Superior",1,c(-58.44058097307, -34.6066997345465)
"Jardín de Infantes Integral N° 01/05° Walt Disney","IniCom","Nivel Inicial Común","Jardín de Infantes Integral",1,"1",107195.6234,99640.9517,"Inicial Común",-58.3848259403718,-34.6324817656624,"Inicial",1,c(-58.3848259403718, -34.6324817656624)
"Centro Educativo de Nivel Secundario N° 56","SecAdu","Nivel Secundario de Jóvenes y Adultos","Centro Educativo de Nivel Secundario",10,"1",98383.1963,100300.8731,"Secundario de Jóvenes y Adultos",-58.480931094201,-34.6265564767776,"Secundario",1,c(-58.480931094201, -34.6265564767776)
"Esc. Primaria Común N° 01 Estado Plurinacional de Bolivia","PriCom","Nivel Primario Común","Escuela de Jornada Completa",4,"1",107897.9462,99486.4919,"Primario Común",-58.377165135903,-34.6338689928425,"Primario",1,c(-58.377165135903, -34.6338689928425)
"Escuela Argentina de Diseño de Espacios Verdes y de Interiores","SNUCom","Nivel Superior No Universitario Común","Instituto Educativo Incorporado a la Enseñanza Oficial",1,"1",108046.0897,102247.3721,"Superior No Universitario Común",-58.3755755027785,-34.6089802036507,"Superior",1,c(-58.3755755027785, -34.6089802036507)
"Jardín de los Artistas","OSECom","Otros Servicios Educativos de la modalidad Común","Instituto Educativo Asistencial No Incorporado a la Enseñanza Oficial",12,"1",98753.1885,106507.6251,"Otros Servicios Educativos de la modalidad Común",-58.4768868084925,-34.5706066692307,"Otros",1,c(-58.4768868084925, -34.5706066692307)
"Jardín de Infantes Integral N° 06/07°","IniCom","Nivel Inicial Común","Jardín de Infantes Integral",15,"1",101322.2234,102532.699,"Inicial Común",-58.4488843014195,-34.6064384726965,"Inicial",1,c(-58.4488843014195, -34.6064384726965)
"Inst. Eyelén","IniCom - PriCom","Nivel Inicial y Primario Común","Instituto Educativo Incorporado a la Enseñanza Oficial",7,"1",99135.6817,99814.8402,"Inicial, Primario y Secundario Común",-58.4727257588795,-34.6309387161231,"Inicial a Primario",2,c(-58.4727257588795, -34.6309387161231)
"Jardín de Infantes Nucleado A (EPCjc 11/11°) Baldomero Fernández Moreno","IniCom","Nivel Inicial Común","Jardín de Infantes Nucleado",9,"1",99467.0935,98436.8699,"Inicial Común",-58.4691124750626,-34.6433605009184,"Inicial",1,c(-58.4691124750626, -34.6433605009184)
"Inst. Juan Bautista Berthier","IniCom - PriCom - SecCom","Nivel Inicial, Primario y Secundario Común","Instituto Educativo Incorporado a la Enseñanza Oficial",10,"1",97247.6528,99456.7373,"Inicial, Primario y Secundario Común",-58.4933170041489,-34.6341633616799,"Inicial a Secundario",3,c(-58.4933170041489, -34.6341633616799)
"Jardín de Infantes Integral N° 01/07° Andres Ferreyra","IniCom","Nivel Inicial Común","Jardín de Infantes Integral",6,"1",102792.18,102294.6426,"Inicial Común",-58.432857507439,-34.6085815453956,"Inicial",1,c(-58.432857507439, -34.6085815453956)
"Inst. Infancias","IniEsp - PriEsp - OSEEsp","Nivel Inicial y Primario Especial - Otros Servicios Educativos de la modalidad Especial","Instituto Educativo Incorporado a la Enseñanza Oficial",5,"1",103163.4416,103273.3574,"Inicial y Primario Especial - Otros Servicios Educativos de la modalidad Especial",-58.4288133525382,-34.5997579395469,"Inicial a Primario",2,c(-58.4288133525382, -34.5997579395469)
"Esc. Primaria Común N° 24 Maipú","PriCom","Nivel Primario Común","Escuela de Jornada Completa",10,"1",94386.2585,99620.0564,"Primario Común",-58.5245222877435,-34.6326793161641,"Primario",1,c(-58.5245222877435, -34.6326793161641)
"Esc. de Educ. Esp. Hospital Rehabilitación Manuel Roca","IniEsp - PriEsp","Nivel Inicial y Primario Especial","No Corresponde (Salud)",10,"1",96477.1055,101211.7127,"Inicial y Primario Especial",-58.501713191903,-34.6183409312567,"Inicial a Primario",2,c(-58.501713191903, -34.6183409312567)
"Inst. Río de la Plata","IniCom - PriCom - SecCom","Nivel Inicial, Primario y Secundario Común","Instituto Educativo Incorporado a la Enseñanza Oficial",2,"1",105475.7667,104269.0049,"Inicial, Primario y Secundario Común",-58.4036118861817,-34.5907731382978,"Inicial a Secundario",3,c(-58.4036118861817, -34.5907731382978)
"Centro de Alfabetización, Educación Básica y Trabajo N° 30","PriAdu - OSEAdu","Nivel Primario de Jóvenes y Adultos - Otros Servicios Educativos de la modalidad de Jóvenes y Adultos","Programa de Alfabetización, Educación Básica y Trabajo para Jóvenes y Adultos",8,"1",97657.0406,95225.407,"Primario de Jóvenes y Adultos - Otros Servicios Educativos de la modalidad de Jóvenes y Adultos",-58.4888642006049,-34.6723070950807,"Primario",1,c(-58.4888642006049, -34.6723070950807)
"Jardín de Infantes Nucleado B (EPCjc 01/11°)","IniCom","Nivel Inicial Común","Jardín de Infantes Nucleado",10,"1",98035.1598,99242.9117,"Inicial Común",-58.4847289571105,-34.6360927199315,"Inicial",1,c(-58.4847289571105, -34.6360927199315)
"Esc. Técnica N° 08 Paula Albarracín de Sarmiento","SecCom","Nivel Secundario Común","Escuela Técnica",9,"1",98156.735,98776.1319,"Secundario Común",-58.4834040720478,-34.6403006794802,"Secundario",1,c(-58.4834040720478, -34.6403006794802)
"Centro de Formación Profesional N° 25 (anexo 7) - Casa Puerto","OSECom - OSEAdu","Otros Servicios Educativos de las modalidades Común y de Jóvenes y Adultos","Centro de Formación Profesional",10,"1",95946.9869,99544.8205,"Otros Servicios Educativos de las modalidades Común y de Jóvenes y Adultos",-58.5075016461488,-34.6333649607653,"Otros",1,c(-58.5075016461488, -34.6333649607653)
"Jardín de Infantes Nucleado C (EPCjs 18/15°)","IniCom","Nivel Inicial Común","Jardín de Infantes Nucleado",12,"1",97062.2607,108556.5182,"Inicial Común",-58.4953068257887,-34.5521334189448,"Inicial",1,c(-58.4953068257887, -34.5521334189448)
"Esc. Superior de Educación Artística en Danza N° 02 Jorge Donn","SecCom - SNUCom - OSECom","Nivel Secundario Común - Nivel Superior No Universitario Común - Otros Servicios Educativos de la modalidad Común","Escuela Superior de Educación Artística",10,"1",96292.2304,99972.4784,"Secundario Común - Superior No Universitario Común - Otros Servicios Educativos de la modalidad Común",-58.5037345566735,-34.6295112142799,"Secundario a Superior",2,c(-58.5037345566735, -34.6295112142799)
"Jardín de Infantes Nucleado A (EPCjs 02/07°)","IniCom","Nivel Inicial Común","Jardín de Infantes Nucleado",15,"1",101962.2452,103397.6525,"Inicial Común",-58.4419084832335,-34.5986404238845,"Inicial",1,c(-58.4419084832335, -34.5986404238845)
"Esc. Primaria Común N° 11 Dr. Enrique Mosca","PriCom","Nivel Primario Común","Escuela de Jornada Completa",15,"1",100623.1717,103272.0498,"Primario Común",-58.4565061245231,-34.5997742749179,"Primario",1,c(-58.4565061245231, -34.5997742749179)
"Escuela Infantil Pequeña Aldea","OSECom","Otros Servicios Educativos de la modalidad Común","Instituto Educativo Asistencial no Incorporado a la Enseñanza Oficial",7,"1",100470.3127,101301.3421,"Otros Servicios Educativos de la modalidad Común",-58.4581715541145,-34.6175391298145,"Otros",1,c(-58.4581715541145, -34.6175391298145)
"Esc. Primaria Común N° 06 Tomás Guido","PriCom","Nivel Primario Común","Escuela de Jornada Simple",1,"1",107124.972,99684.5199,"Primario Común",-58.3855968122164,-34.6320895151147,"Primario",1,c(-58.3855968122164, -34.6320895151147)
"Esc. Primaria Común N° 15 Provincia de Santa Fe","PriCom","Nivel Primario Común","Escuela de Jornada Simple",12,"1",98759.5845,109745.6429,"Primario Común",-58.476812176919,-34.5414175822318,"Primario",1,c(-58.476812176919, -34.5414175822318)
"Jardín de Infantes Nucleado A (EPCjs 07/01°)","IniCom","Nivel Inicial Común","Jardín de Infantes Nucleado",1,"1",107298.1098,103058.4361,"Inicial Común",-58.3837374263861,-34.6016744880781,"Inicial",1,c(-58.3837374263861, -34.6016744880781)
"Jardín de Infantes Nucleado B (EPCjs 10/07°) La Veleta de Caballito","IniCom","Nivel Inicial Común","Jardín de Infantes Nucleado",6,"1",101399.9236,101690.4663,"Inicial Común",-58.448035849367,-34.6140306087098,"Inicial",1,c(-58.448035849367, -34.6140306087098)
"CENOF Centro Corrales","OSEAdu","Otros Servicios Educativos de la modalidad de Jóvenes y Adultos","Centro de Educación No Formal",8,"1",101764.9372,95947.2872,"Otros Servicios Educativos de la modalidad de Jóvenes y Adultos",-58.444044380041,-34.6658012105819,"Otros",1,c(-58.444044380041, -34.6658012105819)
"Esc. Primaria Común N° 23 Gral. de División Manuel N. Savio","PriCom","Nivel Primario Común","Escuela de Jornada Simple",7,"1",100270.0749,98429.8363,"Primario Común",-58.4603541851072,-34.6434240503905,"Primario",1,c(-58.4603541851072, -34.6434240503905)
"ESEA en Danza Ramicone Curso Vocacional de Folklore N° 19","OSECom","Otros Servicios Educativos de la modalidad Común","Escuela Superior de Educación Artística",11,"1",99251.936,101155.3547,"Otros Servicios Educativos de la modalidad Común",-58.4714566681283,-34.6188548888795,"Otros",1,c(-58.4714566681283, -34.6188548888795)
"Esc. para Jóvenes y Adultos con Discapacidad Mental y de Formación Integral N° 22 P B Palacios Almafuerte","OSEEsp","Otros Servicios Educativos de la modalidad Especial","Escuela de Educación Especial",3,"1",106233.0341,100679.5348,"Otros Servicios Educativos de la modalidad Especial",-58.3953312946672,-34.6231258307727,"Otros",1,c(-58.3953312946672, -34.6231258307727)
"Inst. Colegio de Ntra. Señora","IniCom - PriCom - SecCom","Nivel Inicial, Primario y Secundario Común","Instituto Educativo Incorporado a la Enseñanza Oficial",1,"1",107813.1077,103286.4092,"Inicial, Primario y Secundario Común",-58.3781251325367,-34.5996156805401,"Inicial a Secundario",3,c(-58.3781251325367, -34.5996156805401)
